0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
"Table 3.1: Construction firms:  Number of Firms, by size of Firm, Great Britain    ",,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
This table refers to [note 16][note 17][note 18][note 19][note 20][note 21][note 22][note 23][note 24] in the notes table.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Some shorthand is used in this table, [x] = unavailable because data was not collected for the variables at these time points.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics and Inter-Departmental Business Register (IDBR),,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Business' classified to Construction - 3rd quarter each year,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size of Firm ,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
0 (sole proprietors),[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],49196.0,45916.0,42742.0,40681.0,40811.0,38711.0,39484.0,39819.0,38888.0,38520.0,36891.0,35352.0,45101.0,37451.0
1,86269,87837,88018,87712,77926,71431,70370,71620,73117,71960,74325,78826,75382,86274.0,89132.0,90647.0,92635.0,92926.0,108691.0,123489.0,133472.0,138069.0,144229.0,148584.0,153622.0,157012.0,156153.0
2-3,47644,47918,49350,48773,50653,50306,53022,55027,57320,58910,60313,62910,60625,65432.0,65689.0,62008.0,66054.0,66135.0,72128.0,76845.0,82783.0,88297.0,91843.0,94651.0,100218.0,103938.0,103337.0
4-7,15737,16391,16969,16584,22455,23963,25704,26865,28435,30375,31814,33594,33069,32119.0,30142.0,28875.0,29014.0,29142.0,30855.0,32339.0,33933.0,35434.0,36071.0,36725.0,38353.0,41044.0,40345.0
8-13,3787,3988,4148,3790,8044,9819,10508,10982,11599,12230,12669,13459,12390,11774.0,11234.0,11455.0,11425.0,11455.0,11923.0,12255.0,12665.0,12890.0,12908.0,13269.0,13509.0,14378.0,14283.0
14-24,3101,3274,3271,3104,4920,5427,5892,6161,6341,6656,6860,7102,6502,6029.0,5778.0,6078.0,5985.0,6016.0,6203.0,6230.0,6328.0,6444.0,6508.0,6633.0,6648.0,7089.0,7291.0
25-34,1176,1201,1332,1201,1782,1809,1932,1985,2037,2056,2128,2262,2104,1864.0,1713.0,1815.0,1757.0,1756.0,1722.0,1842.0,1885.0,1939.0,1905.0,1937.0,1993.0,2068.0,1952.0
35-59,1156,1263,1188,1109,999,1782,1821,1906,1928,2034,2129,2211,2064,1896.0,1774.0,1796.0,1756.0,1752.0,1849.0,1848.0,1879.0,1932.0,1918.0,1913.0,1847.0,1860.0,1888.0
60-79,396,419,397,364,354,457,583,550,573,583,597,647,596,593.0,547.0,530.0,523.0,521.0,511.0,534.0,542.0,556.0,549.0,584.0,602.0,617.0,591.0
80-114,296,319,304,271,304,425,451,464,469,467,490,511,484,472.0,450.0,417.0,406.0,405.0,436.0,468.0,486.0,474.0,445.0,441.0,441.0,433.0,428.0
115-299,381,405,379,341,433,520,535,560,556,562,595,602,531,525.0,483.0,483.0,481.0,482.0,489.0,498.0,538.0,554.0,573.0,573.0,544.0,553.0,560.0
300-599,107,125,105,91,129,123,135,148,148,148,154,164,154,145.0,147.0,145.0,136.0,138.0,143.0,147.0,144.0,145.0,149.0,143.0,124.0,125.0,125.0
"600-1,199",60,56,58,51,68,62,75,75,65,72,65,60,62,60.0,56.0,55.0,51.0,48.0,56.0,57.0,60.0,56.0,59.0,58.0,56.0,62.0,58.0
"1,200 and over",38,40,42,35,56,57,64,60,56,54,60,59,62,62.0,60.0,59.0,60.0,60.0,58.0,57.0,56.0,58.0,54.0,54.0,56.0,52.0,52.0
All firms,160148,163236,165561,163426,168123,166181,171092,176403,182644,186107,192199,202407,194025,256441.0,253121.0,247105.0,250964.0,251647.0,273775.0,296093.0,314590.0,325736.0,335731.0,342456.0,353365.0,374332.0,364514.0
