0,1,2,3,4,5,6,7,8,9,10,11
"Table 2: New Orders for construction: volume seasonally adjusted pounds data, by main contractor, by sector, constant prices",,,,,,,,,,,
This worksheet contains one table. Some cells in this table are empty because data was not collected for the variables at these time points.,,,,,,,,,,,
Source: Office for National Statistics and Barbour ABI,,,,,,,,,,,
£ million,,,,,,,,,,,
Time period,"New housing
public","New housing
private","All 
new housing","Other new work
infrastructure","Other new work
excluding infrastructure","Private
industrial","Private
commercial","All
other work","All
new work",Period on period growths (%),Period on same period one year ago growths (%)
1964,12193,33978,46171,,20213,9681,14381,44275,90446,,
1965,13092,31172,44264,,19061,10009,11896,40966,85230,-0.058,
1966,13719,25581,39300,,19310,9527,10648,39485,78785,-0.076,
1967,17197,30290,47487,,24783,10035,8839,43657,91144,0.157,
1968,14992,25488,40480,,22072,10244,9626,41942,82422,-0.096,
1969,11188,21315,32503,,21375,11043,10024,42442,74945,-0.091,
1970,11079,22312,33391,,19554,10339,11591,41484,74875,-0.001,
1971,9322,25603,34925,,23656,7447,14275,45378,80303,0.072,
1972,9815,30499,40314,,24731,7449,14371,46551,86865,0.082,
1973,8839,29627,38466,,21907,9466,14249,45622,84088,-0.032,
1974,9107,13221,22328,,15013,7774,10178,32965,55293,-0.342,
1975,11648,15301,26949,,16719,5158,7745,29622,56571,0.023,
1976,11205,17394,28599,,17220,5919,8793,31932,60531,0.07,
1977,7903,15705,23608,,13998,6970,9203,30171,53779,-0.112,
1978,7628,17906,25534,,13487,7307,10891,31685,57219,0.064,
1979,5455,16646,22101,,12441,7224,9881,29546,51647,-0.097,
1980,3165,11745,14910,3826,6224,5666,10314,26030,40940,-0.207,
1981,2705,11155,13860,4958,7027,5105,12392,29482,43342,0.059,
1982,3959,15771,19730,4156,7466,4389,12620,28631,48361,0.116,
1983,3804,20695,24499,4579,9440,5318,12879,32216,56715,0.173,
1984,3292,18660,21952,4395,8698,7171,15203,35467,57419,0.012,
1985,2641,19894,22535,4761,7499,5803,16106,34169,56704,-0.012,
1986,2667,21424,24091,4997,7608,6183,18438,37226,61317,0.081,
1987,2890,22552,25442,7787,8083,6351,23898,46119,71561,0.167,
1988,2508,23508,26016,4350,8509,7678,28329,48866,74882,0.046,
1989,2179,17162,19341,5136,9117,6978,28795,50026,69367,-0.074,
1990,1698,11840,13538,5839,7939,6818,23835,44431,57969,-0.164,
1991,2231,10977,13208,7014,7787,6384,19371,40556,53764,-0.073,
1992,3363,9701,13064,8864,9233,4589,16356,39042,52106,-0.031,
1993,4023,11322,15345,9564,10950,4936,16599,42049,57394,0.101,
1994,3359,13145,16504,7075,10698,5441,17267,40481,56985,-0.007,
1995,2810,10701,13511,7408,8611,6726,18380,41125,54636,-0.041,
1996,2518,11541,14059,8472,7915,5976,19987,42350,56409,0.032,
1997,2289,12837,15126,6975,7307,7467,22178,43927,59053,0.047,
1998,2002,11548,13550,7667,8399,6538,25851,48455,62005,0.05,
1999,1932,10600,12532,7144,7596,5654,23177,43571,56103,-0.095,
2000,1717,10378,12095,7608,8442,5427,23368,44845,56940,0.015,
2001,1936,10457,12393,7735,8355,5479,22846,44415,56808,-0.002,
2002,1834,11757,13591,7946,11380,4370,21730,45426,59017,0.039,
2003,1996,12836,14832,7019,11150,4917,19585,42671,57503,-0.026,
2004,2372,15957,18329,5206,11493,4641,23568,44908,63237,0.1,
2005,2473,16257,18730,6974,10624,6139,23553,47290,66020,0.044,
2006,3222,15837,19059,4927,9293,6717,30122,51059,70118,0.062,
2007,3355,14810,18165,6368,10099,5452,29721,51640,69805,-0.004,
2008,2728,8078,10806,7572,12713,3982,22537,46804,57610,-0.175,
2009,2859,5537,8396,10690,13822,2540,12890,39942,48338,-0.161,
2010,3093,8600,11694,8720,12485,2150,13441,36796,48490,0.003,
2011,2434,8963,11397,7239,8440,2069,12897,30645,42042,-0.133,
2012,2257,8996,11252,10133,7211,2480,11488,31312,42565,0.012,
2013,3656,11844,15500,8432,7826,3257,12463,31978,47478,0.115,
2014,1835,13118,14953,7305,8321,3501,15040,34167,49120,0.035,
2015,1416,13133,14549,11119,6522,4416,14681,36738,51287,0.044,
2016,1761,13545,15307,11440,6912,3940,15185,37477,52783,0.029,
2017,1458,14067,15525,15410,5901,4022,13912,39245,54770,0.038,
2018,1061,14312,15374,8212,6270,4016,12295,30793,46166,-0.157,
2019,968,13205,14173,8978,5924,4203,12469,31574,45747,-0.009,
2020,981,11140,12121,9123,4250,3667,10698,27738,39859,-0.129,
