Date,GBP/EUR
2005-01-31,1.4331
2005-02-28,1.4499
2005-03-31,1.444
2005-04-30,1.4652
2005-05-31,1.4611
2005-06-30,1.4952
2005-07-31,1.4547
2005-08-31,1.4592
2005-09-30,1.4761
2005-10-31,1.4674
2005-11-30,1.4719
2005-12-31,1.4725
2006-01-31,1.4582
2006-02-28,1.4637
2006-03-31,1.45
2006-04-30,1.4402
2006-05-31,1.4637
2006-06-30,1.456
2006-07-31,1.454
2006-08-31,1.4785
2006-09-30,1.4811
2006-10-31,1.4869
2006-11-30,1.4834
2006-12-31,1.486
2007-01-31,1.5079
2007-02-28,1.4969
2007-03-31,1.4703
2007-04-30,1.4713
2007-05-31,1.4677
2007-06-30,1.4805
2007-07-31,1.4821
2007-08-31,1.4762
2007-09-30,1.4515
2007-10-31,1.437
2007-11-30,1.4106
2007-12-31,1.3863
2008-01-31,1.3383
2008-02-29,1.3316
2008-03-31,1.2897
2008-04-30,1.258
2008-05-31,1.2633
2008-06-30,1.2636
2008-07-31,1.2615
2008-08-31,1.2614
2008-09-30,1.2531
2008-10-31,1.2718
2008-11-30,1.2041
2008-12-31,1.1043
2009-01-31,1.0919
2009-02-28,1.1264
2009-03-31,1.0867
2009-04-30,1.1157
2009-05-31,1.1295
2009-06-30,1.1682
2009-07-31,1.1622
2009-08-31,1.1597
2009-09-30,1.1212
2009-10-31,1.0928
2009-11-30,1.1126
2009-12-31,1.1127
2010-01-31,1.1327
2010-02-28,1.1415
2010-03-31,1.1092
2010-04-30,1.1436
2010-05-31,1.1685
2010-06-30,1.2082
2010-07-31,1.1959
2010-08-31,1.2132
2010-09-30,1.1901
2010-10-31,1.1412
2010-11-30,1.1701
2010-12-31,1.1802
2011-01-31,1.1817
2011-02-28,1.1815
2011-03-31,1.1527
2011-04-30,1.1331
2011-05-31,1.1403
2011-06-30,1.1261
2011-07-31,1.1308
2011-08-31,1.1422
2011-09-30,1.147
2011-10-31,1.1487
2011-11-30,1.1659
2011-12-31,1.1843
2012-01-31,1.2034
2012-02-29,1.1941
2012-03-31,1.1981
2012-04-30,1.2161
2012-05-31,1.244
2012-06-30,1.2416
2012-07-31,1.2688
2012-08-31,1.2676
2012-09-30,1.2524
2012-10-31,1.2393
2012-11-30,1.244
2012-12-31,1.231
2013-01-31,1.2
2013-02-28,1.1594
2013-03-31,1.1634
2013-04-30,1.175
2013-05-31,1.1777
2013-06-30,1.174
2013-07-31,1.16
2013-08-31,1.1649
2013-09-30,1.1883
2013-10-31,1.1797
2013-11-30,1.1938
2013-12-31,1.1947
2014-01-31,1.2097
2014-02-28,1.2122
2014-03-31,1.2021
2014-04-30,1.2125
2014-05-31,1.2267
2014-06-30,1.2436
2014-07-31,1.2611
2014-08-31,1.2542
2014-09-30,1.2639
2014-10-31,1.2678
2014-11-30,1.2646
2014-12-31,1.2686
2015-01-31,1.3045
2015-02-28,1.3503
2015-03-31,1.3825
2015-04-30,1.3856
2015-05-31,1.3852
2015-06-30,1.3879
2015-07-31,1.4139
2015-08-31,1.4004
2015-09-30,1.3665
2015-10-31,1.3657
2015-11-30,1.4168
2015-12-31,1.3769
2016-01-31,1.3257
2016-02-29,1.289
2016-03-31,1.2809
2016-04-30,1.2622
2016-05-31,1.2846
2016-06-30,1.2646
2016-07-31,1.1884
2016-08-31,1.1687
2016-09-30,1.1722
2016-10-31,1.119
2016-11-30,1.1533
2016-12-31,1.1838
2017-01-31,1.1613
2017-02-28,1.1732
2017-03-31,1.1548
2017-04-30,1.1798
2017-05-31,1.1696
2017-06-30,1.1403
2017-07-31,1.1281
2017-08-31,1.0974
2017-09-30,1.1186
2017-10-31,1.1227
2017-11-30,1.1259
2017-12-31,1.133
2018-01-31,1.1331
2018-02-28,1.1311
2018-03-31,1.1328
2018-04-30,1.1477
2018-05-31,1.1397
2018-06-30,1.1378
2018-07-31,1.1269
2018-08-31,1.1157
2018-09-30,1.1195
2018-10-31,1.133
2018-11-30,1.1352
2018-12-31,1.1128
2019-01-31,1.1298
2019-02-28,1.1473
2019-03-31,1.1653
2019-04-30,1.1603
2019-05-31,1.1479
2019-06-30,1.1225
2019-07-31,1.1118
2019-08-31,1.0925
2019-09-30,1.1223
2019-10-31,1.144
2019-11-30,1.166
2019-12-31,1.1791
2020-01-31,1.1779
2020-02-29,1.1882
2020-03-31,1.1193
2020-04-30,1.1419
2020-05-31,1.1275
2020-06-30,1.1123
2020-07-31,1.1059
2020-08-31,1.11
2020-09-30,1.0993
2020-10-31,1.1032
2020-11-30,1.1164
2020-12-31,1.1039
2021-01-31,1.1205
2021-02-28,1.1467
2021-03-31,1.1648
2021-04-30,1.1555
2021-05-31,1.1596
2021-06-30,1.1639
2021-07-31,1.1677
2021-08-31,1.173
2021-09-30,1.1667
2021-10-31,1.1806
2021-11-30,1.1789
2021-12-31,1.1772
2022-01-31,1.1977
2022-02-28,1.1933
2022-03-31,1.1953
2022-04-30,1.1956
2022-05-31,1.1759
2022-06-30,1.165
2022-07-31,1.1777
2022-08-31,1.1834
2022-09-30,1.1447
2022-10-31,1.1493
2022-11-30,1.1505
2022-12-31,1.1512
2023-01-31,1.1352
2023-02-28,1.1289
2023-03-31,1.133
2023-04-30,1.1347
2023-05-31,1.1495
2023-06-30,1.165
2023-07-31,1.1651
2023-08-31,1.1643
2023-09-30,1.1605
2023-10-31,1.1523
2023-11-30,1.1492
2023-12-31,1.1604
2024-01-31,1.1653
2024-02-29,1.1702
2024-03-31,1.1693
2024-04-30,1.1671
2024-05-31,1.1685
2024-06-30,1.1811
2024-07-31,1.186
2024-08-31,1.1741
2024-09-30,1.1903
2024-10-31,1.1972
2024-11-30,1.1998
2024-12-31,1.2079
2025-01-31,1.1921
2025-02-28,1.2039
2025-03-31,1.1941
2025-04-30,1.1709
2025-05-31,1.1852
2025-06-30,1.1768
