Date,GBP/USD
2005-01-31,1.8764
2005-02-28,1.8871
2005-03-31,1.9078
2005-04-30,1.896
2005-05-31,1.8538
2005-06-30,1.8179
2005-07-31,1.7509
2005-08-31,1.7943
2005-09-30,1.8081
2005-10-31,1.764
2005-11-30,1.7341
2005-12-31,1.7462
2006-01-31,1.7678
2006-02-28,1.747
2006-03-31,1.7435
2006-04-30,1.7685
2006-05-31,1.8702
2006-06-30,1.8428
2006-07-31,1.8447
2006-08-31,1.8944
2006-09-30,1.8847
2006-10-31,1.8755
2006-11-30,1.9119
2006-12-31,1.9633
2007-01-31,1.9587
2007-02-28,1.9581
2007-03-31,1.9471
2007-04-30,1.9909
2007-05-31,1.9836
2007-06-30,1.9864
2007-07-31,2.0338
2007-08-31,2.0111
2007-09-30,2.0185
2007-10-31,2.0446
2007-11-30,2.0701
2007-12-31,2.0185
2008-01-31,1.9698
2008-02-29,1.9638
2008-03-31,2.0032
2008-04-30,1.9817
2008-05-31,1.9641
2008-06-30,1.9658
2008-07-31,1.988
2008-08-31,1.8889
2008-09-30,1.7986
2008-10-31,1.69
2008-11-30,1.5338
2008-12-31,1.4859
2009-01-31,1.4452
2009-02-28,1.4411
2009-03-31,1.4174
2009-04-30,1.4715
2009-05-31,1.5429
2009-06-30,1.6366
2009-07-31,1.6366
2009-08-31,1.6539
2009-09-30,1.6328
2009-10-31,1.6199
2009-11-30,1.6597
2009-12-31,1.6239
2010-01-31,1.6162
2010-02-28,1.5615
2010-03-31,1.5053
2010-04-30,1.534
2010-05-31,1.4627
2010-06-30,1.4761
2010-07-31,1.5299
2010-08-31,1.566
2010-09-30,1.5578
2010-10-31,1.5862
2010-11-30,1.5961
2010-12-31,1.5603
2011-01-31,1.5795
2011-02-28,1.613
2011-03-31,1.6159
2011-04-30,1.6345
2011-05-31,1.6312
2011-06-30,1.6214
2011-07-31,1.6145
2011-08-31,1.6348
2011-09-30,1.5783
2011-10-31,1.576
2011-11-30,1.5804
2011-12-31,1.5585
2012-01-31,1.551
2012-02-29,1.5802
2012-03-31,1.5823
2012-04-30,1.6014
2012-05-31,1.5905
2012-06-30,1.5571
2012-07-31,1.5589
2012-08-31,1.5719
2012-09-30,1.6116
2012-10-31,1.6079
2012-11-30,1.5961
2012-12-31,1.6144
2013-01-31,1.5957
2013-02-28,1.5478
2013-03-31,1.5076
2013-04-30,1.5316
2013-05-31,1.5285
2013-06-30,1.5478
2013-07-31,1.5172
2013-08-31,1.5507
2013-09-30,1.5865
2013-10-31,1.6094
2013-11-30,1.6104
2013-12-31,1.6375
2014-01-31,1.647
2014-02-28,1.6567
2014-03-31,1.6622
2014-04-30,1.6743
2014-05-31,1.6844
2014-06-30,1.6906
2014-07-31,1.7069
2014-08-31,1.6709
2014-09-30,1.6305
2014-10-31,1.6068
2014-11-30,1.578
2014-12-31,1.564
2015-01-31,1.5143
2015-02-28,1.5334
2015-03-31,1.4957
2015-04-30,1.4967
2015-05-31,1.547
2015-06-30,1.5568
2015-07-31,1.556
2015-08-31,1.5583
2015-09-30,1.5326
2015-10-31,1.5339
2015-11-30,1.519
2015-12-31,1.4983
2016-01-31,1.4379
2016-02-29,1.4296
2016-03-31,1.425
2016-04-30,1.4312
2016-05-31,1.4518
2016-06-30,1.4209
2016-07-31,1.3141
2016-08-31,1.31
2016-09-30,1.3142
2016-10-31,1.2329
2016-11-30,1.2431
2016-12-31,1.2488
2017-01-31,1.2351
2017-02-28,1.249
2017-03-31,1.2348
2017-04-30,1.2652
2017-05-31,1.2933
2017-06-30,1.2813
2017-07-31,1.2994
2017-08-31,1.2955
