Date,"Business Investment, CVM, SA, in £m, % change"
1997 Q2,4.4
1997 Q3,6.1
1997 Q4,2.6
1998 Q1,1.6
1998 Q2,-0.4
1998 Q3,-0.9
1998 Q4,2.5
1999 Q1,-0.7
1999 Q2,0.1
1999 Q3,2.9
1999 Q4,-1.0
2000 Q1,4.0
2000 Q2,5.8
2000 Q3,-6.7
2000 Q4,3.6
2001 Q1,-0.6
2001 Q2,0.9
2001 Q3,-0.0
2001 Q4,-4.2
2002 Q1,-1.8
2002 Q2,-1.0
2002 Q3,5.5
2002 Q4,4.0
2003 Q1,-0.1
2003 Q2,-9.5
2003 Q3,2.5
2003 Q4,-0.6
2004 Q1,0.8
2004 Q2,-8.0
2004 Q3,5.9
2004 Q4,2.2
2005 Q1,-0.5
2005 Q2,55.6
2005 Q3,-32.2
2005 Q4,-0.5
2006 Q1,5.1
2006 Q2,-3.9
2006 Q3,7.7
2006 Q4,0.2
2007 Q1,4.8
2007 Q2,1.4
2007 Q3,-4.4
2007 Q4,8.4
2008 Q1,-7.3
2008 Q2,3.8
2008 Q3,-3.8
2008 Q4,-3.4
2009 Q1,-9.0
2009 Q2,-5.2
2009 Q3,-2.2
2009 Q4,-0.9
2010 Q1,4.7
2010 Q2,-1.5
2010 Q3,4.5
2010 Q4,6.6
2011 Q1,-7.0
2011 Q2,5.7
2011 Q3,3.3
2011 Q4,2.5
2012 Q1,3.7
2012 Q2,-4.3
2012 Q3,0.5
2012 Q4,5.8
2013 Q1,-2.9
2013 Q2,2.0
2013 Q3,3.5
2013 Q4,-0.4
2014 Q1,2.0
2014 Q2,0.3
2014 Q3,0.7
2014 Q4,3.6
2015 Q1,6.4
2015 Q2,-2.7
2015 Q3,0.2
2015 Q4,6.6
2016 Q1,2.4
2016 Q2,-0.3
2016 Q3,2.4
2016 Q4,-3.7
2017 Q1,2.3
2017 Q2,-0.5
2017 Q3,-1.7
2017 Q4,1.7
2018 Q1,-0.6
2018 Q2,-2.1
2018 Q3,0.1
2018 Q4,0.7
2019 Q1,1.1
2019 Q2,1.6
2019 Q3,-0.4
2019 Q4,0.1
2020 Q1,-2.3
2020 Q2,-19.2
2020 Q3,11.8
2020 Q4,5.6
2021 Q1,-6.8
2021 Q2,7.7
2021 Q3,-1.7
2021 Q4,0.3
2022 Q1,3.0
2022 Q2,2.4
2022 Q3,0.9
2022 Q4,-2.7
2023 Q1,5.9
2023 Q2,0.4
2023 Q3,-2.3
2023 Q4,1.8
2024 Q1,-0.2
2024 Q2,1.8
2024 Q3,2.2
2024 Q4,-1.9
2025 Q1,5.9
