Date,Total managed expenditure: £m
1946,4353
1947,3925
1948,4327
1949,4655
1950,4768
1951,5658
1952,6298
1953,6739
1954,6818
1955,6886
1956,7496
1957,7811
1958,8292
1959,8831
1960,9369
1961,10294
1962,10992
1963,11535
1964,12599
1965,14085
1966,15396
1967,17633
1968,19242
1969,20145
1970,22089
1971,24592
1972,27464
1973,31654
1974,40559
1975,53357
1976,62828
1977,67968
1978,77233
1979,90028
1980,110075
1981,124626
1982,137364
1983,150542
1984,160585
1985,170449
1986,177318
1987,186477
1988,195082
1989,212779
1990,234364
1991,254899
1992,279063
1993,292841
1994,305592
1995,321083
1996,325871
1997,339663
1998,354218
1999,364155
2000,384381
2001,410517
2002,443213
2003,487031
2004,523420
2005,558696
2006,586377
2007,619514
2008,698086
2009,755276
2010,778792
2011,783064
2012,801952
2013,793918
2014,802770
2015,806434
2016,822836
2017,847001
2018,864970
2019,891693
2020,1071933
2021,1063309
2022,1132086
2023,1251217
2024,1278574
1946 Q1,1052
1946 Q2,1103
1946 Q3,1098
1946 Q4,1100
1947 Q1,976
1947 Q2,980
1947 Q3,983
1947 Q4,986
1948 Q1,1079
1948 Q2,1081
1948 Q3,1080
1948 Q4,1087
1949 Q1,1162
1949 Q2,1162
1949 Q3,1166
1949 Q4,1165
1950 Q1,1189
1950 Q2,1191
1950 Q3,1192
1950 Q4,1196
1951 Q1,1413
1951 Q2,1413
1951 Q3,1417
1951 Q4,1415
1952 Q1,1569
1952 Q2,1571
1952 Q3,1576
1952 Q4,1582
1953 Q1,1683
1953 Q2,1685
1953 Q3,1686
1953 Q4,1685
1954 Q1,1702
1954 Q2,1706
1954 Q3,1704
1954 Q4,1706
1955 Q1,1735
1955 Q2,1624
1955 Q3,1723
1955 Q4,1804
1956 Q1,1851
1956 Q2,1870
1956 Q3,1846
1956 Q4,1929
1957 Q1,1965
1957 Q2,1925
1957 Q3,1922
1957 Q4,1999
1958 Q1,2076
1958 Q2,2043
1958 Q3,2048
1958 Q4,2125
1959 Q1,2174
1959 Q2,2208
1959 Q3,2182
1959 Q4,2267
1960 Q1,2284
1960 Q2,2323
1960 Q3,2338
1960 Q4,2424
1961 Q1,2490
1961 Q2,2544
1961 Q3,2633
1961 Q4,2627
1962 Q1,2786
1962 Q2,2679
1962 Q3,2736
1962 Q4,2791
1963 Q1,2781
1963 Q2,2800
1963 Q3,2961
1963 Q4,2993
1964 Q1,3165
1964 Q2,3038
1964 Q3,3183
1964 Q4,3213
1965 Q1,3474
1965 Q2,3413
1965 Q3,3578
1965 Q4,3620
1966 Q1,3806
1966 Q2,3691
1966 Q3,3880
1966 Q4,4019
1967 Q1,4404
1967 Q2,4175
