"Consumer Price Index incl. housing (CPIH), 2015=100","GDP, Seasonally adjusted £m","Employment rate (aged 16 to 64, seasonally adjusted), %","Month average BoE Rate, %",GBP/EUR,GBP/USD,"Business Investment, CVM, SA, in £m, % change",Total managed expenditure: £m,"Total Construction output, seasonally adjusted, m","Construction Material Price Index, 2015 = 100",Small construction companies (up to 59 employees),Medium construction companies (60-299 employees),Large construction companies (300 and more employees),All companies,Number of employees in Small construction companies (up to 59 employees),Number of employees in Medium construction companies (60-299 employees),Number of employees in Large construction companies (300 and more employees),Number of employees in All companies,"Public housing new contracts, £ m","Private Housing new contracts, £ m","Infrastructure new contracts, £ m","Other new contracts, £ m","Private Industrial new contracts, £ m","Private Commercial new contracts, £ m","All new contracts, £ m","Consumer Price Index incl. housing (CPIH), 2015=100_normalized","GDP, Seasonally adjusted £m_normalized","Employment rate (aged 16 to 64, seasonally adjusted), %_normalized","Month average BoE Rate, %_normalized",GBP/EUR_normalized,GBP/USD_normalized,"Business Investment, CVM, SA, in £m, % change_normalized",Total managed expenditure: £m_normalized,"Total Construction output, seasonally adjusted, m_normalized","Construction Material Price Index, 2015 = 100_normalized",Small construction companies (up to 59 employees)_normalized,Medium construction companies (60-299 employees)_normalized,Large construction companies (300 and more employees)_normalized,All companies_normalized,Number of employees in Small construction companies (up to 59 employees)_normalized,Number of employees in Medium construction companies (60-299 employees)_normalized,Number of employees in Large construction companies (300 and more employees)_normalized,Number of employees in All companies_normalized,"Public housing new contracts, £ m_normalized","Private Housing new contracts, £ m_normalized","Infrastructure new contracts, £ m_normalized","Other new contracts, £ m_normalized","Private Industrial new contracts, £ m_normalized","Private Commercial new contracts, £ m_normalized","All new contracts, £ m_normalized","Consumer Price Index incl. housing (CPIH), 2015=100_standardized","GDP, Seasonally adjusted £m_standardized","Employment rate (aged 16 to 64, seasonally adjusted), %_standardized","Month average BoE Rate, %_standardized",GBP/EUR_standardized,GBP/USD_standardized,"Business Investment, CVM, SA, in £m, % change_standardized",Total managed expenditure: £m_standardized,"Total Construction output, seasonally adjusted, m_standardized","Construction Material Price Index, 2015 = 100_standardized",Small construction companies (up to 59 employees)_standardized,Medium construction companies (60-299 employees)_standardized,Large construction companies (300 and more employees)_standardized,All companies_standardized,Number of employees in Small construction companies (up to 59 employees)_standardized,Number of employees in Medium construction companies (60-299 employees)_standardized,Number of employees in Large construction companies (300 and more employees)_standardized,Number of employees in All companies_standardized,"Public housing new contracts, £ m_standardized","Private Housing new contracts, £ m_standardized","Infrastructure new contracts, £ m_standardized","Other new contracts, £ m_standardized","Private Industrial new contracts, £ m_standardized","Private Commercial new contracts, £ m_standardized","All new contracts, £ m_standardized",COVID_Lockdown,HS2_contracts,Commercial_Construction_Boom_2006
78.3,167567.33,73.2,4.75,1.4331,1.8764,-0.17,48114,14699.33,70.53,180777.0,1598.0,269.0,182644.0,697400,192500,278900,1168800,176.0,1308.33,545.0,866.0,412.67,1908.0,5216.33,0.0,0.12681736337525784,0.4843750000000009,0.8230088495575222,0.8224121557454891,0.7938045560996381,0.3609022556390977,0.07937871597665412,0.6327288468198083,0.0,0.0,0.5397727272727273,0.7553730560894635,0.0,0.028416347381864625,0.8386308068459658,0.4781783681214421,0.16748768472906403,0.3956043956043956,0.8444775734820459,0.11152569593147751,0.5343969168468107,0.46718824844323814,0.5999115826702034,0.7848680199690035,-1.5465687605527918,-1.4286556519542977,-0.09875304855502999,1.4138073640235722,1.7375230577245746,1.549963878539224,-0.1630926194285378,-1.396736398328761,-0.22840988946438934,-1.4589859792960012,-1.2274379758077765,0.4439335919999043,0.7505460615062963,-1.2265885369755443,-1.2269783289146836,1.247082844366589,0.30017014208823256,-1.0078634171966827,0.05959672270374603,1.219189001740034,-0.7048898810288583,0.8583130017327628,0.4352959035726936,1.1939390054307732,1.2159986055374927,0,0,0
78.5,167567.33,73.1,4.75,1.4499,1.8871,-0.17,46543,14699.33,70.53,180777.0,1598.0,269.0,182644.0,697400,192500,278900,1168800,176.0,1308.33,545.0,866.0,412.67,1908.0,5216.33,0.0035211267605634307,0.12681736337525784,0.4687499999999996,0.8230088495575222,0.8622981956315289,0.8051948051948051,0.3609022556390977,0.05795559919271259,0.6327288468198083,0.0,0.0,0.5397727272727273,0.7553730560894635,0.0,0.028416347381864625,0.8386308068459658,0.4781783681214421,0.16748768472906403,0.3956043956043956,0.8444775734820459,0.11152569593147751,0.5343969168468107,0.46718824844323814,0.5999115826702034,0.7848680199690035,-1.5329226488756642,-1.4286556519542977,-0.15422970287150087,1.4138073640235722,1.8794566828545107,1.5952837609060482,-0.1630926194285378,-1.4891146340241468,-0.22840988946438934,-1.4589859792960012,-1.2274379758077765,0.4439335919999043,0.7505460615062963,-1.2265885369755443,-1.2269783289146836,1.247082844366589,0.30017014208823256,-1.0078634171966827,0.05959672270374603,1.219189001740034,-0.7048898810288583,0.8583130017327628,0.4352959035726936,1.1939390054307732,1.2159986055374927,0,0,0
78.8,167567.33,72.9,4.75,1.444,1.9078,-0.17,46066,14699.33,70.53,180777.0,1598.0,269.0,182644.0,697400,192500,278900,1168800,176.0,1308.33,545.0,866.0,412.67,1908.0,5216.33,0.008802816901408451,0.12681736337525784,0.4375000000000014,0.8230088495575222,0.8482905982905982,0.8272301469022779,0.3609022556390977,0.05145093547155403,0.6327288468198083,0.0,0.0,0.5397727272727273,0.7553730560894635,0.0,0.028416347381864625,0.8386308068459658,0.4781783681214421,0.16748768472906403,0.3956043956043956,0.8444775734820459,0.11152569593147751,0.5343969168468107,0.46718824844323814,0.5999115826702034,0.7848680199690035,-1.512453481359973,-1.4286556519542977,-0.26518301150442686,1.4138073640235722,1.8296109454576874,1.6829586735222406,-0.1630926194285378,-1.5171632771983665,-0.22840988946438934,-1.4589859792960012,-1.2274379758077765,0.4439335919999043,0.7505460615062963,-1.2265885369755443,-1.2269783289146836,1.247082844366589,0.30017014208823256,-1.0078634171966827,0.05959672270374603,1.219189001740034,-0.7048898810288583,0.8583130017327628,0.4352959035726936,1.1939390054307732,1.2159986055374927,0,0,0
79.1,168968.67,72.9,4.75,1.4652,1.896,3.0,49028,14592.67,70.53,180777.0,1598.0,269.0,182644.0,697400,192500,278900,1168800,196.67,1445.0,552.67,906.0,548.33,1860.33,5508.33,0.014084507042253471,0.15228639511258638,0.4375000000000014,0.8230088495575222,0.8986229819563154,0.8146689376197571,1.0,0.09184257895598102,0.6204167147639386,0.0,0.0,0.5397727272727273,0.7553730560894635,0.0,0.028416347381864625,0.8386308068459658,0.4781783681214421,0.16748768472906403,0.47131868131868127,0.970248283731802,0.11563169164882224,0.573523226355482,0.7078609824897547,0.5788373121131741,0.8563607739825136,-1.4919843138442819,-1.3360059638296131,-0.26518301150442686,1.4138073640235722,2.008717662883561,1.6329797378279856,6.5030556481081145,-1.3429911994582437,-0.29350721534235846,-1.4589859792960012,-1.2274379758077765,0.4439335919999043,0.7505460615062963,-1.2265885369755443,-1.2269783289146836,1.247082844366589,0.30017014208823256,-1.0078634171966827,0.33065499767683876,1.7515881077457793,-0.6752522493050859,1.0293453726312805,1.4585440037405697,1.0976726662245417,1.5764268955652578,0,0,0
79.4,168968.67,72.9,4.75,1.4611,1.8538,3.0,42293,14592.67,70.53,180777.0,1598.0,269.0,182644.0,697400,192500,278900,1168800,196.67,1445.0,552.67,906.0,548.33,1860.33,5508.33,0.019366197183098743,0.15228639511258638,0.4375000000000014,0.8230088495575222,0.888888888888889,0.7697466467958269,1.0,0.0,0.6204167147639386,0.0,0.0,0.5397727272727273,0.7553730560894635,0.0,0.028416347381864625,0.8386308068459658,0.4781783681214421,0.16748768472906403,0.47131868131868127,0.970248283731802,0.11563169164882224,0.573523226355482,0.7078609824897547,0.5788373121131741,0.8563607739825136,-1.4715151463285898,-1.3360059638296131,-0.26518301150442686,1.4138073640235722,1.9740790996078026,1.4542415101756505,6.5030556481081145,-1.7390239285533575,-0.29350721534235846,-1.4589859792960012,-1.2274379758077765,0.4439335919999043,0.7505460615062963,-1.2265885369755443,-1.2269783289146836,1.247082844366589,0.30017014208823256,-1.0078634171966827,0.33065499767683876,1.7515881077457793,-0.6752522493050859,1.0293453726312805,1.4585440037405697,1.0976726662245417,1.5764268955652578,0,0,0
79.4,168968.67,73.0,4.75,1.4952,1.8179,3.0,42590,14592.67,70.53,180777.0,1598.0,269.0,182644.0,697400,192500,278900,1168800,196.67,1445.0,552.67,906.0,548.33,1860.33,5508.33,0.019366197183098743,0.15228639511258638,0.4531250000000005,0.8230088495575222,0.9698480531813867,0.7315307643176496,1.0,0.004050073637702504,0.6204167147639386,0.0,0.0,0.5397727272727273,0.7553730560894635,0.0,0.028416347381864625,0.8386308068459658,0.4781783681214421,0.16748768472906403,0.47131868131868127,0.970248283731802,0.11563169164882224,0.573523226355482,0.7078609824897547,0.5788373121131741,0.8563607739825136,-1.4715151463285898,-1.3360059638296131,-0.20970635718796385,1.4138073640235722,2.262170564901305,1.3021869515804185,6.5030556481081145,-1.7215596790297867,-0.29350721534235846,-1.4589859792960012,-1.2274379758077765,0.4439335919999043,0.7505460615062963,-1.2265885369755443,-1.2269783289146836,1.247082844366589,0.30017014208823256,-1.0078634171966827,0.33065499767683876,1.7515881077457793,-0.6752522493050859,1.0293453726312805,1.4585440037405697,1.0976726662245417,1.5764268955652578,0,0,0
79.5,170377.33,73.0,4.75,1.4547,1.7509,-3.0,46023,14305.0,70.53,180777.0,1598.0,269.0,182644.0,697400,192500,278900,1168800,200.0,1477.33,663.0,933.67,495.67,1838.0,5607.67,0.021126760563380333,0.17788846616394,0.4531250000000005,0.8230088495575222,0.8736942070275405,0.6602086438152011,0.0,0.05086456117383952,0.5872099734503059,0.0,0.0,0.5397727272727273,0.7553730560894635,0.0,0.028416347381864625,0.8386308068459658,0.4781783681214421,0.16748768472906403,0.4835164835164835,1.0,0.1746948608137045,0.6005888509581055,0.6144375255025104,0.5689655172413793,0.8806830006390277,-1.4646920904900265,-1.2428723134137876,-0.20970635718796385,1.4138073640235722,1.9200091471773508,1.018408248909649,-3.9275057587433526,-1.5196917712371327,-0.4690795736333337,-1.4589859792960012,-1.2274379758077765,0.4439335919999043,0.7505460615062963,-1.2265885369755443,-1.2269783289146836,1.247082844366589,0.30017014208823256,-1.0078634171966827,0.3743233119323009,1.877529887925524,-0.24892631604774174,1.1476570152003298,1.0613433185360852,1.0525787422791855,1.699046574782238,0,0,0
79.7,170377.33,73.0,4.5341,1.4592,1.7943,-3.0,46637,14305.0,70.53,180777.0,1598.0,269.0,182644.0,697400,192500,278900,1168800,200.0,1477.33,663.0,933.67,495.67,1838.0,5607.67,0.024647887323943764,0.17788846616394,0.4531250000000005,0.7847964601769911,0.8843779677113012,0.706408345752608,0.0,0.05923744068073965,0.5872099734503059,0.0,0.0,0.5397727272727273,0.7553730560894635,0.0,0.028416347381864625,0.8386308068459658,0.4781783681214421,0.16748768472906403,0.4835164835164835,1.0,0.1746948608137045,0.6005888509581055,0.6144375255025104,0.5689655172413793,0.8806830006390277,-1.4510459788128989,-1.2428723134137876,-0.20970635718796385,1.308594160485693,1.9580270824800121,1.2022290801919087,-3.9275057587433526,-1.4835872284510303,-0.4690795736333337,-1.4589859792960012,-1.2274379758077765,0.4439335919999043,0.7505460615062963,-1.2265885369755443,-1.2269783289146836,1.247082844366589,0.30017014208823256,-1.0078634171966827,0.3743233119323009,1.877529887925524,-0.24892631604774174,1.1476570152003298,1.0613433185360852,1.0525787422791855,1.699046574782238,0,0,0
79.9,170377.33,72.9,4.5,1.4761,1.8081,-3.0,47948,14305.0,70.53,180777.0,1598.0,269.0,182644.0,697400,192500,278900,1168800,200.0,1477.33,663.0,933.67,495.67,1838.0,5607.67,0.028169014084507192,0.17788846616394,0.4375000000000014,0.7787610619469026,0.9245014245014244,0.72109857355759,0.0,0.07711503845524464,0.5872099734503059,0.0,0.0,0.5397727272727273,0.7553730560894635,0.0,0.028416347381864625,0.8386308068459658,0.4781783681214421,0.16748768472906403,0.4835164835164835,1.0,0.1746948608137045,0.6005888509581055,0.6144375255025104,0.5689655172413793,0.8806830006390277,-1.437399867135771,-1.2428723134137876,-0.26518301150442686,1.2919764196767924,2.100805550616674,1.2606790219360373,-3.9275057587433526,-1.4064975613621373,-0.4690795736333337,-1.4589859792960012,-1.2274379758077765,0.4439335919999043,0.7505460615062963,-1.2265885369755443,-1.2269783289146836,1.247082844366589,0.30017014208823256,-1.0078634171966827,0.3743233119323009,1.877529887925524,-0.24892631604774174,1.1476570152003298,1.0613433185360852,1.0525787422791855,1.699046574782238,0,0,0
80.0,171978.33,72.8,4.5,1.4674,1.764,-0.17,46433,14270.0,70.53,180777.0,1598.0,269.0,182644.0,697400,192500,278900,1168800,251.67,1188.67,564.0,835.67,589.67,2245.0,5674.33,0.029929577464788783,0.20698627241471584,0.42187500000000006,0.7787610619469026,0.9038461538461539,0.6741537151373217,0.3609022556390977,0.056455571919489446,0.583169802608796,0.0,0.0,0.5397727272727273,0.7553730560894635,0.0,0.028416347381864625,0.8386308068459658,0.4781783681214421,0.16748768472906403,0.6727838827838828,0.7343603334989787,0.12169700214132761,0.5047293926618607,0.7812017669913246,0.748894783377542,0.8970039149627969,-1.4305768112972077,-1.137022090992664,-0.3206596658208977,1.2919764196767924,2.0273042090315285,1.0738933385363223,-0.1630926194285378,-1.4955828745884323,-0.49044096877423865,-1.4589859792960012,-1.2274379758077765,0.4439335919999043,0.7505460615062963,-1.2265885369755443,-1.2269783289146836,1.247082844366589,0.30017014208823256,-1.0078634171966827,1.0519034313256104,0.7530524902550895,-0.6314720188708819,0.7286277064989617,1.7703608728319742,1.8744877008891316,1.7813279097591244,0,0,0
